Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 209.998432, 161.000000, 0.002760, 0.276000, 13.800000, 690.000000, 3.141602, 
20, 209.988155, 161.000000, 0.013037, 0.513860, 11.893023, -95.348861, 3.141660, 
20, 209.965028, 160.999997, 0.036163, 1.156311, 32.122533, 1011.475524, 3.141792, 
20, 209.923907, 160.999983, 0.077285, 2.056092, 44.989024, 643.324526, 3.142026, 
20, 209.859632, 160.999944, 0.141560, 3.213737, 57.882260, 644.661810, 3.142389, 
20, 209.767030, 160.999846, 0.234162, 4.630119, 70.819123, 646.843163, 3.142909, 
20, 209.640899, 160.999636, 0.360293, 6.306528, 83.820461, 650.066912, 3.143610, 
20, 209.476005, 160.999228, 0.525188, 8.244746, 96.910851, 654.519482, 3.144513, 
20, 209.267064, 160.998500, 0.734130, 10.447111, 110.118291, 660.371996, 3.145638, 
20, 209.008735, 160.997279, 0.992462, 12.916587, 123.473777, 667.774308, 3.146997, 
20, 208.698195, 160.995353, 1.303008, 15.527284, 130.534881, 353.055183, 3.148586, 
20, 208.335155, 160.992486, 1.666059, 18.152574, 131.264481, 36.479985, 3.150382, 
20, 207.919283, 160.988417, 2.081951, 20.794619, 132.102267, 41.889298, 3.152359, 
20, 207.450206, 160.982862, 2.551061, 23.455479, 133.042955, 47.034408, 3.154489, 
20, 206.927515, 160.975527, 3.073803, 26.137101, 134.081141, 51.909328, 3.156740, 
20, 206.350766, 160.966109, 3.650630, 28.841332, 135.211511, 56.518495, 3.159076, 
20, 205.719478, 160.954309, 4.282028, 31.569914, 136.429106, 60.879763, 3.161461, 
20, 205.033140, 160.939837, 4.968518, 34.324505, 137.729569, 65.023144, 3.163854, 
20, 204.291210, 160.922428, 5.710652, 37.106694, 139.109431, 68.993062, 3.166213, 
20, 203.493115, 160.901847, 6.509012, 39.918021, 140.566373, 72.847114, 3.168493, 
20, 202.638250, 160.877903, 7.364213, 42.760012, 142.099546, 76.658641, 3.170647, 
20, 201.725979, 160.850462, 8.276897, 45.634209, 143.709869, 80.516183, 3.172625, 
20, 200.755629, 160.819461, 9.247741, 48.542217, 145.400353, 84.524203, 3.174375, 
20, 199.726494, 160.784921, 10.277456, 51.485746, 147.176464, 88.805517, 3.175843, 
20, 198.637822, 160.746965, 11.366789, 54.466676, 149.046497, 93.501682, 3.176972, 
20, 197.488816, 160.705834, 12.516532, 57.487116, 151.022028, 98.776509, 3.177699, 
20, 196.278623, 160.661908, 13.727521, 60.549484, 153.118398, 104.818517, 3.177961, 
20, 195.006329, 160.615730, 15.000653, 63.656590, 155.355312, 111.845717, 3.177690, 
20, 193.670946, 160.568027, 16.336888, 66.811741, 157.757535, 120.111151, 3.176810, 
20, 192.271401, 160.519739, 17.737265, 70.018856, 160.355737, 129.910086, 3.175243, 
20, 190.806525, 160.472058, 19.202917, 73.282606, 163.187522, 141.589270, 3.172900, 
20, 189.275032, 160.426458, 20.735089, 76.608580, 166.298688, 155.558288, 3.169687, 
20, 187.675506, 160.384749, 22.335158, 80.003475, 169.744752, 172.303176, 3.165497, 
20, 186.006380, 160.349125, 24.004665, 83.475331, 173.592810, 192.402913, 3.160212, 
20, 184.265911, 160.322236, 25.745341, 87.033807, 177.923764, 216.547732, 3.153698, 
20, 182.452163, 160.307266, 27.559151, 90.690505, 182.834930, 245.558255, 3.145804, 
20, 180.562976, 160.308033, 29.448339, 94.459366, 188.443017, 280.404376, 3.136359, 
20, 178.595947, 160.329111, 31.415481, 98.357112, 194.887331, 322.215683, 3.125162, 
20, 176.548408, 160.375982, 33.463556, 102.403769, 202.332846, 372.275771, 3.111986, 
20, 174.417416, 160.455228, 35.596021, 106.623218, 210.972441, 431.979753, 3.096564, 
20, 172.199761, 160.574767, 37.816896, 111.043756, 221.026882, 502.722026, 3.078587, 
20, 169.891997, 160.744148, 40.130867, 115.698553, 232.739853, 585.648562, 3.057693, 
20, 167.490543, 160.974917, 42.543383, 120.625822, 246.363448, 681.179745, 3.033465, 
20, 164.991861, 161.281058, 45.060750, 125.868341, 262.125988, 788.127022, 3.005415, 
20, 162.392791, 161.679509, 47.690185, 131.471725, 280.169173, 902.159243, 2.972988, 
20, 159.691126, 162.190737, 50.439793, 137.480421, 300.434829, 1013.282765, 2.935559, 
20, 156.886539, 162.839288, 53.318392, 143.929927, 322.475270, 1102.022084, 2.892450, 
20, 153.982019, 163.654163, 56.335055, 150.833167, 345.162028, 1134.337910, 2.842960, 
20, 150.985955, 164.668714, 59.498235, 158.159027, 366.292968, 1056.546975, 2.786437, 
20, 147.914876, 165.919583, 62.814287, 165.802591, 382.178236, 794.263405, 2.722389, 
20, 144.799893, 167.442245, 66.281508, 173.361060, 377.923437, -212.739927, 2.650733, 
20, 141.688718, 169.264732, 69.887180, 180.283567, 346.125336, -1589.905078, 2.572022, 
20, 138.641435, 171.401795, 73.609139, 186.097936, 290.718431, -2770.345263, 2.487537, 
20, 135.725391, 173.848440, 77.415631, 190.324601, 211.333265, -3969.258287, 2.399300, 
20, 133.005945, 176.577006, 81.267962, 192.616576, 114.598745, -4836.726004, 2.309868, 
20, 130.535830, 179.540165, 85.125653, 192.884526, 13.397494, -5060.062542, 2.221937, 
20, 128.347466, 182.679270, 88.952259, 191.330321, -77.710223, -4555.385863, 2.137893, 
20, 126.451114, 185.934518, 92.719591, 188.366608, -148.185678, -3523.772726, 2.059483, 
20, 124.838465, 189.252942, 96.409113, 184.476104, -194.525165, -2316.974363, 1.987708, 
20, 123.488903, 192.592325, 100.010891, 180.088878, -219.361333, -1241.808407, 1.922907, 
20, 122.374660, 195.924852, 103.524759, 175.693420, -219.772906, -20.578627, 1.864879, 
20, 121.466335, 199.235242, 106.957503, 171.637213, -202.810339, 848.128324, 1.813100, 
20, 120.736861, 202.514904, 110.317313, 167.990483, -182.336473, 1023.693314, 1.766938, 
20, 120.162409, 205.759746, 113.612612, 164.764937, -161.277317, 1052.957786, 1.725743, 
20, 119.722531, 208.968520, 116.851396, 161.939201, -141.286789, 999.526412, 1.688900, 
20, 119.399912, 212.141684, 120.040918, 159.476093, -123.155400, 906.569473, 1.655848, 
20, 119.179978, 215.280650, 123.187580, 157.333114, -107.148976, 800.321181, 1.626096, 
20, 119.050475, 218.387317, 126.296944, 155.468226, -93.244392, 695.229211, 1.599215, 
20, 119.001080, 221.463774, 129.373798, 153.842685, -81.277059, 598.366615, 1.574836, 
20, 119.010254, 224.388636, 132.298674, 146.243794, -379.944546, -14933.374304, 1.562066, 
20, 119.052638, 227.302443, 135.212790, 145.705776, -26.900883, 17652.183127, 1.550210, 
20, 119.132242, 230.234889, 138.146316, 146.676309, 48.526656, 3771.376942, 1.536860, 
20, 119.254205, 233.186980, 141.100925, 147.730475, 52.708282, 209.081317, 1.521888, 
20, 119.424243, 236.159738, 144.078542, 148.880837, 57.518091, 240.490456, 1.505146, 
20, 119.648754, 239.154160, 147.081369, 150.141349, 63.025608, 275.375836, 1.486463, 
20, 119.934929, 242.171165, 150.111916, 151.527345, 69.299820, 313.710619, 1.465648, 
20, 120.290535, 245.208806, 153.170301, 152.919240, 69.594746, 14.746258, 1.442502, 
20, 120.723633, 248.261688, 156.253751, 154.172522, 62.664084, -346.533102, 1.416839, 
20, 121.242658, 251.323424, 159.359167, 155.270818, 54.914804, -387.463970, 1.388472, 
20, 121.856348, 254.386755, 162.483365, 156.209898, 46.953990, -398.040715, 1.357221, 
20, 122.573552, 257.443297, 165.622924, 156.977947, 38.402464, -427.576310, 1.322925, 
20, 123.402939, 260.483242, 168.773980, 157.552780, 28.741663, -483.040026, 1.285455, 
20, 124.352559, 263.495060, 171.931957, 157.898872, 17.304572, -571.854552, 1.244740, 
20, 125.429239, 266.465228, 175.091252, 157.964730, 3.292925, -700.582340, 1.200784, 
20, 126.637799, 269.378090, 178.244882, 157.681480, -14.162501, -872.771304, 1.153701, 
20, 127.980125, 272.215908, 181.384157, 156.963796, -35.884230, -1086.086462, 1.103735, 
20, 129.455752, 274.961984, 184.501593, 155.871780, -54.600769, -935.826933, 1.051224, 
20, 131.062055, 277.601505, 187.591461, 154.493396, -68.919220, -715.922576, 0.996586, 
20, 132.792723, 280.119523, 190.646887, 152.771275, -86.106045, -859.341249, 0.940350, 
20, 134.637374, 282.501625, 193.659717, 150.641548, -106.486339, -1019.014711, 0.883144, 
20, 136.581764, 284.735112, 196.620987, 148.063452, -128.904787, -1120.922368, 0.825658, 
20, 138.608457, 286.810095, 199.521510, 145.026199, -151.862667, -1147.893986, 0.768599, 
20, 140.697883, 288.720322, 202.352529, 141.550944, -173.762726, -1095.002952, 0.712643, 
20, 142.829593, 290.463573, 205.106274, 137.687243, -193.185064, -971.116937, 0.658387, 
20, 144.983492, 292.041598, 207.776376, 133.505074, -209.108444, -796.168971, 0.606322, 
20, 147.140876, 293.459639, 210.358070, 129.084730, -221.017203, -595.437954, 0.556814, 
20, 149.285139, 294.725711, 212.848212, 124.507062, -228.883434, -393.311546, 0.510106, 
20, 151.402145, 295.849766, 215.245130, 119.845897, -233.058227, -208.739680, 0.466325, 
20, 153.480299, 296.842903, 217.548398, 115.163406, -234.124555, -53.316389, 0.425504, 
20, 155.510406, 297.716685, 219.758563, 110.508250, -232.757794, 68.338045, 0.387601, 
20, 157.485405, 298.482614, 221.876879, 105.915840, -229.620481, 156.865650, 0.352519, 
20, 159.400039, 299.151764, 223.905077, 101.409882, -225.297944, 216.126876, 0.320125, 
20, 161.250529, 299.734547, 225.845167, 97.004491, -220.269504, 251.421982, 0.290263, 
20, 163.034266, 300.240581, 227.699295, 92.706403, -214.904443, 268.253066, 0.262768, 
20, 164.749551, 300.678644, 229.469634, 88.516960, -209.472150, 271.614630, 0.237474, 
20, 166.395370, 301.056672, 231.158310, 84.433780, -204.158971, 265.658952, 0.214216, 
20, 167.971221, 301.381799, 232.767351, 80.452061, -199.085955, 253.650803, 0.192838, 
20, 169.476974, 301.660405, 234.298662, 76.565556, -194.325267, 238.034397, 0.173193, 
20, 170.912763, 301.898185, 235.754008, 72.767276, -189.913996, 220.563532, 0.155146, 
20, 172.278906, 302.100209, 237.135007, 69.049979, -185.864836, 202.458026, 0.138573, 
20, 173.575840, 302.270990, 238.443137, 65.406491, -182.174384, 184.522593, 0.123358, 
20, 174.804078, 302.414538, 239.679735, 61.829911, -178.829004, 167.268997, 0.109401, 
20, 175.964175, 302.534422, 240.846010, 58.313728, -175.809179, 150.991267, 0.096606, 
20, 177.056701, 302.633813, 241.943047, 54.851881, -173.092355, 135.841188, 0.084892, 
20, 178.082226, 302.715530, 242.971823, 51.438781, -170.654958, 121.869849, 0.074183, 
20, 179.041306, 302.782080, 243.933209, 48.069308, -168.473674, 109.064217, 0.064411, 
20, 179.934474, 302.835688, 244.827985, 44.738784, -166.526188, 97.374305, 0.055517, 
20, 180.762236, 302.878329, 245.656844, 41.442950, -164.791737, 86.722535, 0.047448, 
20, 181.525062, 302.911755, 246.420402, 38.177924, -163.251283, 77.022710, 0.040155, 
20, 182.223391, 302.937512, 247.119206, 34.940172, -161.887572, 68.185555, 0.033598, 
20, 182.857622, 302.956964, 247.753735, 31.726468, -160.685234, 60.116896, 0.027738, 
20, 183.428119, 302.971307, 248.324412, 28.533856, -159.630609, 52.731223, 0.022544, 
20, 183.935207, 302.981582, 248.831605, 25.359620, -158.711760, 45.942437, 0.017988, 
20, 184.379175, 302.988692, 249.275630, 22.201255, -157.918245, 39.675759, 0.014044, 
20, 184.760275, 302.993405, 249.656758, 19.056433, -157.241128, 33.855866, 0.010692, 
20, 185.078721, 302.996367, 249.975218, 15.922977, -156.672792, 28.416803, 0.007915, 
20, 185.337442, 302.998125, 250.233946, 12.936381, -149.329800, 367.149613, 0.005675, 
20, 185.542434, 302.999107, 250.438940, 10.249722, -134.332976, 749.841166, 0.003909, 
20, 185.700006, 302.999617, 250.596513, 7.878648, -118.553664, 788.965602, 0.002558, 
20, 185.816434, 302.999857, 250.712941, 5.821410, -102.861896, 784.588425, 0.001563, 
20, 185.897968, 302.999956, 250.794475, 4.076703, -87.235365, 781.326539, 0.000868, 
20, 185.950840, 302.999990, 250.847347, 2.643595, -71.655382, 778.999175, 0.000418, 
20, 185.981270, 302.999999, 250.877776, 1.521461, -56.106739, 777.432134, 0.000159, 
20, 185.995468, 303.000000, 250.891975, 0.709911, -40.577458, 776.464042, 0.000039, 
20, 185.999643, 303.000000, 250.896149, 0.208742, -25.058467, 775.949530, 0.000003, 
20, 186.000000, 303.000000, 250.896507, 0.017868, -9.543702, 775.738264, 0.000000, 
20, 186.000000, 303.000000, 250.896507, 0.000000, -0.893404, 432.514896, 0.000000, 
